iterationName	gameid	time	distractorX	distractorY	targetX	targetY	mouseX	mouseY	eventType
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051032	1500	1500	900	1500	904	1390	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051034	1500	1500	900	1500	904	1390	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051039	1500	1500	900	1500	904	1407	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051051	1500	1500	900	1500	904	1407	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051053	1500	1500	900	1500	904	1407	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051057	1500	1500	900	1500	904	1432	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051059	1500	1500	900	1500	904	1432	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051072	1500	1500	900	1500	904	1432	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051088	1500	1500	900	1500	904	1436	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507051090	1500	1500	900	1500	904	1436	updateMouse
